Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0nLiqZ6A27jJri2VCalIUs,"Nothing Else Matters","Metallica","Metallica",1991-08-12,388266,76,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.553,0.362,4,-11.218,0,0.0263,0.0458,0.00000601,0.075,0.158,142.352,3
2R6UrJ8uWbSIiHWmvRQvN8,"Whiskey In The Jar","Garage Inc.","Metallica",1998-01-01,304693,68,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.511,0.97,10,-3.72,1,0.0414,0.0000056,0.00136,0.18,0.566,132.986,4
2MuWTIM3b0YEAskbeeFE1i,"Master Of Puppets","Master Of Puppets (Remastered)","Metallica",1986-03-03,515386,72,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4
5IX4TbIR5mMHGE4wiWwKW0,"One","...And Justice For All","Metallica",1988-08-25,447440,69,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,3
5sICkBXVmaCQk5aISGR3x1,"Enter Sandman","Metallica","Metallica",1991-08-12,331266,77,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,4
6FUwPb4mGlUDbx42uspXaZ,"Fuel","Reload","Metallica",1997-01-01,269800,66,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.49,0.951,1,-3.777,1,0.0477,0.0000202,0.0027,0.0314,0.589,106.946,4
3LpHzQU2CZzZJGdUWV79SI,"For Whom The Bell Tolls - Remastered","Ride The Lightning (Deluxe / Remastered)","Metallica",1984-07-26,309973,66,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897,4
28WmNsclKsrVmdv3tDmoYU,"Seek & Destroy - Remastered","Kill 'Em All (Remastered)","Metallica",1983-07-24,414720,65,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.445,0.964,9,-5.493,1,0.282,0.037,0.0132,0.0773,0.448,140.817,4
4aYLAF6ckQ5ooGGGM7sWAa,"The Unforgiven","Metallica","Metallica",1991-08-12,386493,70,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,4
6nswV1Lz3OZkaiCJfmVUOa,"The Unforgiven II","Reload","Metallica",1997-01-01,396440,63,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.497,0.89,8,-4.559,0,0.0445,0.00055,0.00129,0.255,0.249,133.047,4
5nekfiTN45vlxG0eNJQQye,"Fade To Black - Remastered","Ride The Lightning (Deluxe / Remastered)","Metallica",1984-07-26,417226,64,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,4
1aXFBWnnPFRKUN7vuIA5h0,"Turn The Page","Garage Inc.","Metallica",1998-01-01,366466,60,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.426,0.813,8,-3.963,1,0.0318,0.0000194,0.022,0.0937,0.228,149.013,4
1PhLYngBKbeDtdmDzCg3Pb,"Sad But True","Metallica","Metallica",1991-08-12,323933,67,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,4
2Iv4HSoMX2fDeXFcOJWyWX,"Until It Sleeps","Load","Metallica",1996-01-01,267933,59,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.568,0.92,8,-4.434,0,0.0297,0.000248,0.0714,0.149,0.719,113.394,4
13Uvqll8OQDjw3wDweIK9y,"The Day That Never Comes","Death Magnetic","Metallica",2008-01-01,476266,60,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.334,0.982,4,-2.293,0,0.0619,0.0000911,0.149,0.106,0.501,126.883,4
6RbC38oDCIXD8V2AOU1Tjr,"The Memory Remains","Reload","Metallica,Marianne Faithfull",1997-01-01,279173,59,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.435,0.901,10,-3.694,0,0.0429,0.000303,0.0072,0.185,0.547,143.646,4
22GbAGb80ZZNgm2yrBMnpR,"Wherever I May Roam","Metallica","Metallica",1991-08-12,403866,62,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.55,0.824,9,-7.848,0,0.0347,0.000362,0.00115,0.0865,0.332,131.387,4
6UB9mShVLbMm0W4e6vud4C,"Battery","Master Of Puppets (Remastered)","Metallica",1986-03-03,312360,59,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.481,0.928,11,-8.799,0,0.0672,0.00022,0.558,0.106,0.427,96.699,4
0t7LcUic4qolMCysPrKeAd,"Die, Die My Darling","Garage Inc.","Metallica",1998-01-01,146560,56,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.438,0.976,10,-2.757,0,0.0576,0.000369,0,0.194,0.791,178.03,3
0QV3swr7L8MZr72lL2izV1,"Hardwired","Hardwired…To Self-Destruct (Deluxe)","Metallica",2016-11-18,189347,56,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.128,0.991,11,-3.289,1,0.0582,0.0000111,0.00379,0.219,0.534,186.12,4
2b7r6fN91KiHnp00aqHZ7x,"Don't Tread On Me","Metallica","Metallica",1991-08-12,240333,54,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.677,0.835,4,-7.627,0,0.0411,0.00546,0.00538,0.297,0.689,108.003,4
0Tp7uSZK21LZTbZRBNb9ud,"Blackened","...And Justice For All","Metallica",1988-08-25,400613,56,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.445,0.802,4,-8.965,0,0.123,0.0000622,0.00202,0.112,0.499,129.037,4
2O7UGwJPVlix15Wn4sa5vw,"Ride The Lightning - Remastered","Ride The Lightning (Deluxe / Remastered)","Metallica",1984-07-26,396986,58,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.257,0.975,9,-6.128,1,0.175,0.0000607,0.1,0.222,0.276,149.312,4
38fIaph07Kd8ZIN6l17ZJs,"Whiplash - Remastered","Kill 'Em All (Remastered)","Metallica",1983-07-24,248546,55,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.384,0.916,4,-6.468,0,0.0983,0.000611,0.422,0.14,0.192,158.042,4
30RKGpKHqr7ytcTljw436k,"King Nothing","Load","Metallica",1996-01-01,329760,54,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.527,0.907,8,-5.772,1,0.0377,0.0000839,0.00755,0.0891,0.364,112.089,4
6eXWc7irALyENtbAD2TTOT,"Lux Æterna","72 Seasons","Metallica",2023-04-14,201760,54,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","EMI",0.408,0.995,11,-3.349,0,0.0823,0.00000963,0.00173,0.128,0.209,130.583,4
46tSt69Xw10Ej8Rn7wJmFt,"I Disappear","I Disappear","Metallica",2008-01-01,266240,52,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.536,0.928,1,-3.64,1,0.0498,0.000213,0.0000656,0.0411,0.46,122.655,4
1FPSkRkDlthbAceSIIWc4C,"Welcome Home (Sanitarium) - Remastered","Master Of Puppets (Deluxe Box Set / Remastered)","Metallica",1986-03-03,387146,54,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.306,0.766,0,-9.693,1,0.0329,0.000324,0.101,0.102,0.42,96.668,4
3dWNUqrgkQakv9fj5epwPK,"Mama Said","Load","Metallica",1996-01-01,319693,52,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.448,0.504,8,-7.749,0,0.0317,0.0171,0.000849,0.38,0.391,135.254,4
