Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2ej1A2Ze6P2EOW7KfIosZR,"Feather (feat. Cise Starr & Akin from CYNE)","Modal Soul","Nujabes,Cise Starr & Akin from CYNE",2005-11-11,175360,60,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,4
4sUTagdmyuyAxd7RvbygpQ,"aruarian dance","samurai champloo music record departure","Nujabes",2004-06-23,250433,61,,1970-01-01T00:00:00Z,"jazz rap","Victor",0.585,0.652,6,-8.357,1,0.0358,0.78,0.907,0.0653,0.877,198.448,4
0JL9TZip7mL7iwC5EOkALS,"Lady Brown (feat. Cise Starr from CYNE)","Metaphorical Music","Nujabes,Cise Starr",2003-08-21,199160,58,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,4
6SNGzhVrisdq63Ndz58ovT,"Luv (sic)","Luv(sic) Hexalogy","Nujabes",2015-12-09,286320,56,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.906,0.677,1,-5.558,1,0.215,0.437,0.0272,0.652,0.869,93.016,4
4xlpJ99yL9xYQtzG6c3hwk,"Luv(sic.) pt3 (feat. Shing02)","Modal Soul","Nujabes,Shing02",2005-11-11,336866,57,,1970-01-01T00:00:00Z,"jazz rap,j-rap","Hydeout Productions",0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,4
7KMm1zF2QOTSw2t01IAFif,"Counting Stars","2nd Collection","Nujabes",2007-11-11,247613,52,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.681,0.676,2,-11.41,1,0.037,0.729,0.924,0.1,0.452,94.985,4
3GUqoL8LDEpw2GH6G9onE0,"Kumomi","Metaphorical Music","Nujabes",2003-08-21,233626,49,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.691,0.672,1,-8.125,1,0.0447,0.147,0.945,0.104,0.707,92.787,4
6gSalwEvVQfSFiqgwfyITp,"Luv (sic) pt2","Luv(sic) Hexalogy","Nujabes",2015-12-09,273080,53,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.834,0.523,5,-6.845,0,0.205,0.386,0.00000666,0.104,0.851,92.682,4
6eGMwVVABqVTe9bWRIm498,"reflection eternal","Modal Soul","Nujabes",2005-11-11,257893,51,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.842,0.464,2,-12.628,1,0.0418,0.429,0.789,0.0978,0.771,93.966,4
7hzm68uGbxcvQY9FAtpk2s,"battlecry","samurai champloo music record departure","Nujabes,Shing02",2004-06-23,202066,51,,1970-01-01T00:00:00Z,"jazz rap,j-rap","Victor",0.712,0.77,0,-10.171,1,0.138,0.699,0.00000212,0.0994,0.781,97.998,4
4MbUcaX58NkUmKXe6FuBaV,"Blessing It -remix (feat. Substantial & Pase Rock from Five Deez)","Metaphorical Music","Nujabes,Substantial,Pase Rock",2003-08-21,203706,48,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.725,0.726,1,-7.446,1,0.233,0.238,0.00243,0.265,0.568,101.807,4
6norVbAE14clVMEyDuRw1m,"Luv (sic) pt4 (feat. Shing02)","Luv(sic) Hexalogy","Nujabes,Shing02",2015-12-09,310746,48,,1970-01-01T00:00:00Z,"jazz rap,j-rap","Hydeout Productions",0.793,0.536,10,-7.22,0,0.045,0.748,0.396,0.104,0.9,93.998,4
4rAcMik7N6LlIs61u5bzYo,"sea of cloud","Modal Soul","Nujabes",2005-11-11,181773,50,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.612,0.653,2,-12.103,1,0.0421,0.832,0.949,0.126,0.827,103.55,4
2u93OtblDZphLnmRFjBeeg,"Color of Autumn","Spiritual State","Nujabes",2011-12-03,103813,45,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.701,0.602,1,-12.291,0,0.0557,0.635,0.904,0.0729,0.737,80.029,4
6fzsRmsi50Wa6snAArkfkf,"Another Reflection","2nd Collection","Nujabes",2007-11-11,224186,43,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.627,0.522,1,-10.848,0,0.0966,0.334,0.878,0.113,0.498,175.933,4
72LSGNDLY4sdvyrGIKtd2Q,"Luv (sic) Grand Finale (feat. Shing02)","Luv(sic) Hexalogy","Nujabes,Shing02",2015-12-09,316760,48,,1970-01-01T00:00:00Z,"jazz rap,j-rap","Hydeout Productions",0.625,0.678,7,-8.759,1,0.0514,0.0773,0.275,0.191,0.287,91.985,4
3MZHDutJalh9C4DNLptn2v,"The Final View","Metaphorical Music","Nujabes",2003-08-21,214946,45,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.591,0.857,7,-3.487,1,0.075,0.00952,0.674,0.148,0.582,89.129,4
0fbnqrpTlUdy0PUwMdU8Pl,"City Lights (feat. Pase Rock & Substantial)","Spiritual State","Nujabes,Pase Rock,Substantial",2011-12-03,194293,46,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.831,0.622,1,-10.995,0,0.0984,0.552,0.847,0.0955,0.908,99.994,4
7BBZGDSZbsb4Esi8YB94HT,"World's end Rhapsody","Modal Soul","Nujabes",2005-11-11,341200,47,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.745,0.731,1,-8.859,1,0.0949,0.205,0.678,0.103,0.898,121.52,4
7FY4KAi2JIoPLxNPLdmnAY,"Luv (sic) pt5 (feat. Shing02)","Luv(sic) Hexalogy","Nujabes,Shing02",2015-12-09,349786,46,,1970-01-01T00:00:00Z,"jazz rap,j-rap","Hydeout Productions",0.768,0.583,9,-9.997,0,0.118,0.81,0.0000285,0.135,0.699,92.016,4
68hjxmQouj1VRaUg8BHWAV,"Letter from Yokosuka","Metaphorical Music","Nujabes",2003-08-21,189346,44,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.748,0.444,11,-10.096,1,0.0346,0.837,0.916,0.108,0.538,99.886,4
401EJO6SRKjlg5CZpo2SEl,"Spiral","Spiritual State","Nujabes",2011-12-03,220866,42,,1970-01-01T00:00:00Z,"jazz rap","Hydeout Productions",0.673,0.509,1,-7.904,0,0.0365,0.272,0.785,0.129,0.791,82.02,4
