Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2QtxlzvSBONjs1bDC34ixs,"Yeah 3x","F.A.M.E. (Expanded Edition)","Chris Brown",2011-03-22,241666,64,jadyz875,2021-02-03T16:29:13Z,"r&b","Jive",0.705,0.882,11,-3.201,0,0.0445,0.000369,0.00000116,0.0934,0.7,130,4
1kPpge9JDLpcj15qgrPbYX,"Good Time","The Midsummer Station","Owl City,Carly Rae Jepsen",2012-08-17,205933,72,jadyz875,2021-02-03T17:43:57Z,"","Universal Records",0.56,0.872,3,-4.269,1,0.14,0.0239,0.00000698,0.371,0.682,126.05,4
7EQGXaVSyEDsCWKmUcfpLk,"Die Young","Warrior (Expanded Edition)","Kesha",2012-11-30,211920,75,jadyz875,2021-07-04T00:08:01Z,"","Kemosabe Records/RCA Records",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
2CEgGE6aESpnmtfiZwYlbV,"Dynamite","The Rokstarr Hits Collection","Taio Cruz",2010-01-01,202613,69,jadyz875,2021-07-04T00:08:22Z,"","Universal-Island Records Ltd.",0.751,0.781,4,-3.724,1,0.0862,0.0039,0,0.036,0.814,119.977,4
6BaxqcoEM9r3LXisTyJjST,"Ridin' Solo","Jason Derulo","Jason Derulo",2010-02-24,215746,57,jadyz875,2021-07-04T00:08:29Z,"","Beluga Heights/Warner Records",0.557,0.831,9,-4.02,1,0.132,0.13,0,0.129,0.586,89.677,4
67T6l4q3zVjC5nZZPXByU8,"Whatcha Say","Jason Derulo","Jason Derulo",2010-02-24,221253,62,jadyz875,2021-07-04T00:08:38Z,"","Beluga Heights/Warner Records",0.615,0.711,11,-5.507,1,0.078,0.0444,0,0.145,0.711,144.034,4
0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,77,jadyz875,2021-07-04T00:08:42Z,"","Decaydance/Fueled By Ramen",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
16Of7eeW44kt0a1M0nitHM,"You Make Me Feel... (feat. Sabi)","Night Shades","Cobra Starship,Sabi",2011-08-29,215693,67,jadyz875,2021-07-10T01:59:58Z,"","Decaydance/Fueled By Ramen",0.668,0.857,7,-2.944,0,0.0535,0.0191,0.00000671,0.0385,0.748,131.959,4
1NpW5kyvO4XrNJ3rnfcNy3,"Wild Ones (feat. Sia)","Wild Ones","Flo Rida,Sia",2012-06-22,232946,75,jadyz875,2021-07-10T02:00:01Z,"","Poe Boy/Atlantic",0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.437,127.075,4
1tAutlhI9FwnKn7fVgmd5P,"Without You (feat. Usher)","Nothing but the Beat 2.0","David Guetta,USHER",2011-08-24,208133,63,jadyz875,2021-07-10T02:00:12Z,"edm,dance,r&b","Parlophone (France)",0.608,0.614,2,-3.727,1,0.0285,0.227,0.00000382,0.157,0.402,127.885,4
4kte3OcW800TPvOVgrLLj8,"Let Me Love You (Until You Learn To Love Yourself)","R.E.D. (Deluxe Edition)","Ne-Yo",2012-01-01,251626,64,jadyz875,2021-07-10T02:00:19Z,"","Island Def Jam/Motown",0.657,0.676,5,-6.633,1,0.0393,0.245,0,0.368,0.246,124.904,4
62zFEHfAYl5kdHYOivj4BC,"International Love (feat. Chris Brown)","Planet Pit (Deluxe Version)","Pitbull,Chris Brown",2011-06-17,227280,77,jadyz875,2021-07-10T02:00:23Z,"r&b","Mr.305/Polo Grounds Music/J Records",0.67,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05,4
5FljCWR0cys07PQ9277GTz,"The Other Side","Talk Dirty","Jason Derulo",2013-09-10,226986,55,jadyz875,2021-07-10T02:00:30Z,"","Beluga Heights/Warner Records",0.561,0.836,9,-3.939,1,0.1,0.0525,0,0.136,0.517,127.923,4
