Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2S7fAzk6MerycVyDuhU2r7,"Heavy Thunderstorm","Thunderstorm Sounds for Sleep","Pure Relaxing Vibes",2020-12-07,602200,0,f59e51iop4iaomcpfm96ux0de,2021-04-07T09:25:27Z,"","Pure Relaxing Vibes",0.147,1,4,-13.606,0,0.0814,0.568,0.981,0.869,0.00001,105.014,4
7yAjWKBArSkuDvhBDgU2Va,"Thunder and Rain Sounds for Sleep","Thunderstorm Sounds for Sleep","Pure Relaxing Vibes",2020-12-07,499640,0,f59e51iop4iaomcpfm96ux0de,2021-04-07T09:25:28Z,"","Pure Relaxing Vibes",0.136,0.847,2,-22.97,1,0.0602,0.00544,0.907,0.921,0.0233,101.008,4
6ZNMljgXJuW74hVI0x9SGi,"Heavy Rain and Thunder Sounds","Thunderstorm Sounds for Sleep","Pure Relaxing Vibes",2020-12-07,581680,0,f59e51iop4iaomcpfm96ux0de,2021-04-07T09:25:29Z,"","Pure Relaxing Vibes",0.171,0.974,1,-24.438,1,0.0599,0.0445,0.945,0.755,0.0124,79.989,4
4e0II1nyttUkbnQNziXzjC,"Rolling Thunder and Rain","Thunderstorm Sounds for Sleep","Pure Relaxing Vibes",2020-12-07,590800,0,f59e51iop4iaomcpfm96ux0de,2021-04-07T09:25:30Z,"","Pure Relaxing Vibes",0.059,0.858,8,-23.579,1,0.0788,0.0125,0.932,0.725,0.0201,64.308,4
5p8ezQPccMUfwPmpQhEeu0,"Thunderstorm at Sea","Thunderstorm Sounds for Sleep","Pure Relaxing Vibes",2020-12-07,547320,0,f59e51iop4iaomcpfm96ux0de,2021-04-07T09:25:31Z,"","Pure Relaxing Vibes",0.0681,0.18,1,-22.061,1,0.0777,0.863,0.996,0.137,0.00668,80.019,4
5NVpPlegoVLrsssI3Db7xQ,"Rain and Thunder for Deep Sleep","Thunderstorm Sounds for Sleep","Pure Relaxing Vibes",2020-12-07,596840,0,f59e51iop4iaomcpfm96ux0de,2021-04-07T09:25:34Z,"","Pure Relaxing Vibes",0.0597,0.989,1,-17.699,1,0.0907,0.0526,0.942,0.302,0.00896,67.438,3
1UNc5ta4ffPXkmYQrxSgH5,"Rainstorm and Heavy Thunder","Rainstorm and Heavy Thunder","Pure Sleeping Vibes",2022-05-30,463900,59,f59e51iop4iaomcpfm96ux0de,2022-06-09T20:35:27Z,"","Pure Sleeping Vibes",0.148,0.945,1,-17.693,1,0.0842,0.000607,0.939,0.364,0.0222,137.474,4
5KL3QSSmbLedxgow1jw0Lw,"Strong Thunder and Heavy Rain","Rain and Thunder","Pure Relaxing Vibes",2022-09-12,457746,58,f59e51iop4iaomcpfm96ux0de,2022-09-20T18:38:42Z,"","Pure Relaxing Vibes",0.154,0.994,4,-21.15,1,0.182,0.0264,0.885,0.858,0.00001,133.452,5
2U7GR8afLdpPd9k5SFw8oH,"Deep Rolling Thunder and Rain","Rain and Thunder","Pure Relaxing Vibes",2022-09-12,445573,59,f59e51iop4iaomcpfm96ux0de,2022-12-02T14:55:47Z,"","Pure Relaxing Vibes",0.15,0.964,2,-18.952,1,0.0723,0.00253,0.92,0.355,0.0162,106.041,4
6tOm14Nv9PxlAVGmRdzjVe,"Deep Thunder and Rain at Night","Rain and Thunder","Pure Relaxing Vibes",2022-09-12,406040,58,f59e51iop4iaomcpfm96ux0de,2022-12-02T14:55:47Z,"","Pure Relaxing Vibes",0.0731,0.999,1,-17.261,0,0.327,0.00153,0.731,0.976,0.00001,81.433,3
