Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1LDpXVpjADBwhXddYnNxlH,"Middle Of The Night","Middle Of The Night","NITTI,KHALI",2023-08-18,247741,42,alltrapnation,2025-02-27T21:45:02Z,"bass house,g-house,jersey club","RECORDS",0.393,0.6,4,-6.479,0,0.0471,0.162,0,0.194,0.189,185.908,3
4NZrZgrRoR4GwR7flWOXRI,"Go Fuck Yourself","First Steps","Two Feet",2016-07-29,129599,67,alltrapnation,2025-02-27T21:45:02Z,"","Majestic Casual Records",0.765,0.327,6,-8.029,1,0.277,0.571,0.0479,0.0787,0.292,74.931,4
32Mh7kOCWmNTZgre0cGvCV,"Hislerim","Hislerim","Serhat Durmus,Zerrin",2018-08-10,214204,61,alltrapnation,2025-02-27T21:45:02Z,"","Under exclusive license to Amuseio AB",0.324,0.526,1,-8.543,0,0.099,0.327,0.00206,0.344,0.039,81.027,4
7MiZjKawmXTsTNePyTfPyL,"Devil Eyes","Providence","Hippie Sabotage",2016-02-05,131271,70,alltrapnation,2025-02-27T21:45:02Z,"","iHipHop Distribution",0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,5
19ItuvrZfTudwC6S5lkDH3,"The Machine","The Machine","Reed Wonder,Aurora Olivas",2023-03-17,192000,70,alltrapnation,2025-02-27T21:45:02Z,"","broke",0.339,0.437,10,-11.554,0,0.0587,0.254,0.00504,0.0742,0.102,99.819,4
3UEnF6y5tyHVtMzldS3svp,"Everything Black","Everything Black","Unlike Pluto,Mike Taylor",2017-03-10,228979,64,alltrapnation,2025-02-27T21:45:02Z,"","Monstercat",0.62,0.864,5,-4.334,0,0.114,0.0323,0,0.117,0.395,98.059,4
02b35qI48b1RWhsFNKCb1Y,"check","check","bbno$",2025-02-10,122037,68,alltrapnation,2025-02-27T21:45:02Z,"meme rap","bbno$$",0.74,0.908,0,-3.359,1,0.0481,0.00623,0.0228,0.138,0.964,134.05,4
7uSZPbd8DxdkmSauCKnITY,"We Rise","We Rise","San Holo",2015-02-23,266482,47,alltrapnation,2025-02-27T21:45:02Z,"future bass,edm","OWSLA/NEST",0.747,0.491,6,-6.043,1,0.0639,0.197,0.0000177,0.0837,0.827,145.034,4
3hPlTosFqmAbiagWiUXXMz,"we r who we r (glitter on my eyes)","we r who we r (glitter on my eyes)","pk",2024-07-18,211073,51,alltrapnation,2025-02-27T21:45:02Z,"","RECORDS",0.697,0.639,8,-6.989,1,0.0344,0.00299,0.891,0.066,0.744,124.019,4
15BlympuVSfZFROojEMY2M,"Don't Let Me Down - Illenium Remix","Don't Let Me Down (Remixes)","The Chainsmokers,Daya,ILLENIUM",2016-05-27,218933,56,alltrapnation,2025-02-27T21:45:02Z,"melodic bass,future bass,edm","Disruptor Records/Columbia",0.428,0.656,11,-3.712,1,0.075,0.0751,0.181,0.15,0.355,79.648,4
33wXe2PIOqYZ4lI0eNRTdW,"My Name","My Name","Reed Wonder,Aurora Olivas",2024-04-03,230766,60,alltrapnation,2025-02-27T21:45:02Z,"","broke",0.414,0.383,6,-8.745,0,0.0291,0.65,0.000179,0.119,0.219,104.89,4
0Q3SC6kEhxYagDP3bFe5K9,"Keep It Mello (feat. Omar LinX)","Joytime","Marshmello,Omar LinX",2016-01-08,243380,52,alltrapnation,2025-02-27T21:45:02Z,"edm","Joytime Collective",0.684,0.888,1,-3.349,1,0.0869,0.00134,0.000696,0.0736,0.109,142.007,4
18ENCZw5lQc10UwwFiH1QK,"two","two","bbno$",2024-10-04,135212,53,alltrapnation,2025-02-27T21:45:02Z,"meme rap","bbno$",0.859,0.878,1,-5.172,1,0.0822,0.00751,0.0000121,0.331,0.885,128.067,4
0io16MKpbeDIdYzmGpQaES,"Embrace It","Embrace It","Ndotz",2024-08-23,104418,77,alltrapnation,2025-02-27T21:45:02Z,"","Isekai Records",0.882,0.645,1,-7.233,1,0.0601,0.475,0.0000413,0.057,0.788,114.933,4
4n81eNyWOkaxBIPrBQk0NJ,"Love Game","Love Game","Bread Beatz",2023-10-06,125769,56,alltrapnation,2025-02-27T21:45:02Z,"","RECORDS",0.641,0.726,9,-5.875,0,0.0301,0.00223,0.0278,0.263,0.656,129.94,4
5ZVujHtwnsqFJvLnqRSdch,"Bad Karma","Bad Karma","Axel Thesleff",2014-04-21,416000,6,alltrapnation,2025-02-27T21:45:02Z,"","Axel Thesleff",0.7,0.546,5,-7.705,0,0.109,0.0131,0.0305,0.172,0.302,80.004,4
3OaunNUlXXs5e2PXtNAzzG,"UCLA","NOVA","RL Grime,24hrs",2018-07-27,192000,5,alltrapnation,2025-02-27T21:45:02Z,"edm trap,future bass","WeDidIt Records",0.536,0.879,1,-3.019,1,0.0621,0.0742,0,0.0847,0.334,140.137,4
6luTWh6j0KQQ1OgYAgV8ke,"Government Hooker","Government Hooker","Bread Beatz",2023-11-23,144990,60,alltrapnation,2025-02-27T21:45:02Z,"","RECORDS",0.637,0.644,1,-9.683,1,0.028,0.0204,0.871,0.144,0.592,130.042,4
62N2JSA0jHmSH7Va9t7hIf,"Habits (Stay High) - Hippie Sabotage Remix","Queen Of The Clouds","Tove Lo,Hippie Sabotage",2014-01-01,258933,59,alltrapnation,2025-02-27T21:45:02Z,"","Universal Music AB",0.735,0.686,4,-7.562,0,0.0366,0.00108,0.874,0.0933,0.0656,121.011,4
1antlMwNpOAXeUcIAx8FPB,"Chihiro","Chihiro","Gravagerz",2024-06-22,128575,14,alltrapnation,2025-02-27T21:45:02Z,"","Gravagerz",0.675,0.517,10,-10.904,1,0.18,0.859,0.018,0.122,0.197,140.168,4
57eYzzXOjMO18x3otqd9MX,"falling down","falling down","théos",2023-04-28,121043,40,alltrapnation,2025-02-27T21:45:02Z,"dark ambient","RECORDS",0.466,0.678,1,-7.129,1,0.0361,0.00053,0.000125,0.136,0.151,115.041,4
7qGoMOzR9pJ1bPl4bFmTN7,"Overthinker","Overthinker","INZO",2018-07-23,268000,55,alltrapnation,2025-02-27T21:45:02Z,"future bass","Lowly",0.472,0.604,8,-4.437,1,0.134,0.0315,0.0292,0.101,0.212,128.375,1
46mSti37NWTIg9XOFulqLH,"Home - Vintage Culture Remix","Home (Vintage Culture Remix)","CamelPhat,RHODES,Vintage Culture",2024-02-23,213333,54,alltrapnation,2025-02-27T21:45:02Z,"melodic techno,house,progressive house,melodic house,tech house,brazilian bass,electronic,electro","When Stars Align",0.569,0.819,2,-9.625,0,0.0371,0.00146,0.0508,0.192,0.0996,125.992,4
7tZdkPtebOG29TzPPHlsem,"Quick Musical Doodles","First Steps","Two Feet",2016-07-29,144000,57,alltrapnation,2025-02-27T21:45:02Z,"","Majestic Casual Records",0.688,0.349,6,-7.182,0,0.27,0.241,0.685,0.374,0.433,169.773,4
