Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
357FaYLDjXjlHfnER4o692,"Affection","Affection","Melody Lake",2021-06-16,95763,38,lesliejoytaylor,2021-06-17T14:08:55Z,"","Melody Lake",0.227,0.0548,8,-16.985,1,0.0346,0.993,0.863,0.123,0.107,72.114,4
053iOzuMkMvARAHcuF6nJx,"Meadows","Blue","Limelight Glow",2021-05-02,113766,36,lesliejoytaylor,2021-06-12T21:27:31Z,"","Limelight Glow",0.281,0.0288,1,-19.157,1,0.0439,0.99,0.774,0.0975,0.165,127.3,4
5MlV6tg0gNyvACK0mnydKC,"Sweet Parting","Love and Life","Ivory Light",2021-05-07,86067,35,lesliejoytaylor,2021-06-12T21:27:31Z,"","Ivory Light",0.318,0.0616,3,-18.487,1,0.0369,0.989,0.958,0.123,0.229,79.388,4
0zB9H3xdxns97itw1K1umX,"Flowing Grace","Onward","Open Blue Sky",2021-05-09,81111,35,lesliejoytaylor,2021-06-12T21:27:31Z,"","Open Blue Sky",0.295,0.0187,8,-27.843,1,0.0399,0.996,0.842,0.118,0.165,128.954,4
3qbEyv7aoEy2VB4DrjIh4P,"Hand In Hand - Strings Version","Hand In Hand (String Versions)","Moonlight Echoes",2021-10-21,77198,34,lesliejoytaylor,2021-10-23T14:41:21Z,"","Moonlight Echoes",0.243,0.0904,9,-19.443,1,0.04,0.977,0.821,0.105,0.104,75.459,3
49tlLAvVDATCVN19Ruzshm,"Beyond Our Walls - Strings Version","Variations On Beyond Our Walls","Ivory Light",2022-04-29,60465,37,lesliejoytaylor,2022-05-04T16:16:17Z,"","Ivory Light",0.194,0.0682,1,-19.861,1,0.0368,0.984,0.93,0.108,0.144,115.223,4
73pDV3Bk6XNstmrJSGsuUr,"Closer To You Arr. for Violin and Piano","Emerge","Harmony Night",2021-07-01,85805,33,lesliejoytaylor,2021-07-07T14:25:38Z,"","Harmony Night",0.26,0.0496,2,-19.758,1,0.0328,0.993,0.883,0.0912,0.321,72.627,4
3BWpWjdoTaU14UZxAZSZwa,"Winter Dreaming - Violin Version","Winter Dreaming","Limelight Glow",2021-11-18,73783,34,lesliejoytaylor,2021-11-19T16:30:32Z,"","Limelight Glow",0.222,0.0442,9,-17.409,1,0.0453,0.992,0.925,0.101,0.255,67.746,5
0R83y6y6jMdkicd0fE7u1o,"Perfect Love Once Again","Perfect Love Once Again","Ivory Light",2022-10-07,62058,32,lesliejoytaylor,2022-10-11T19:24:25Z,"","Ivory Light",0.134,0.0829,9,-17.267,1,0.0462,0.978,0.921,0.096,0.176,167.25,3
35td6pNBOxZnVWVuDY90vk,"In Flight - Violin Version","In Flight (Violin Version)","Poella",2021-08-28,93082,33,lesliejoytaylor,2021-08-31T14:24:18Z,"","Poella",0.385,0.0316,3,-24.008,1,0.0386,0.965,0.941,0.0791,0.0793,72.971,4
5dZtgHpCbCjPrMsDU390pb,"Dona Nobis Pacem - Violin Version","Dona Nobis Pacem (Violin Version)","Open Blue Sky",2021-07-30,84194,33,lesliejoytaylor,2021-08-03T13:43:44Z,"","Open Blue Sky",0.316,0.0578,4,-17.503,1,0.0376,0.993,0.759,0.103,0.188,64.865,4
