Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
357FaYLDjXjlHfnER4o692,"Affection","Affection","Melody Lake",2021-06-16,95763,38,cabultra,2022-12-07T04:39:54Z,"","Melody Lake",0.227,0.0548,8,-16.985,1,0.0346,0.993,0.863,0.123,0.107,72.114,4
053iOzuMkMvARAHcuF6nJx,"Meadows","Blue","Limelight Glow",2021-05-02,113766,36,cabultra,2022-12-07T04:39:54Z,"","Limelight Glow",0.281,0.0288,1,-19.157,1,0.0439,0.99,0.774,0.0975,0.165,127.3,4
5MlV6tg0gNyvACK0mnydKC,"Sweet Parting","Love and Life","Ivory Light",2021-05-07,86067,35,cabultra,2022-12-07T04:39:54Z,"","Ivory Light",0.318,0.0616,3,-18.487,1,0.0369,0.989,0.958,0.123,0.229,79.388,4
0zB9H3xdxns97itw1K1umX,"Flowing Grace","Onward","Open Blue Sky",2021-05-09,81111,35,cabultra,2022-12-07T04:39:54Z,"","Open Blue Sky",0.295,0.0187,8,-27.843,1,0.0399,0.996,0.842,0.118,0.165,128.954,4
3qbEyv7aoEy2VB4DrjIh4P,"Hand In Hand - Strings Version","Hand In Hand (String Versions)","Moonlight Echoes",2021-10-21,77198,34,cabultra,2022-12-07T04:39:54Z,"","Moonlight Echoes",0.243,0.0904,9,-19.443,1,0.04,0.977,0.821,0.105,0.104,75.459,3
49tlLAvVDATCVN19Ruzshm,"Beyond Our Walls - Strings Version","Variations On Beyond Our Walls","Ivory Light",2022-04-29,60465,37,cabultra,2022-12-07T04:39:54Z,"","Ivory Light",0.194,0.0682,1,-19.861,1,0.0368,0.984,0.93,0.108,0.144,115.223,4
73pDV3Bk6XNstmrJSGsuUr,"Closer To You Arr. for Violin and Piano","Emerge","Harmony Night",2021-07-01,85805,33,cabultra,2022-12-07T04:39:54Z,"","Harmony Night",0.26,0.0496,2,-19.758,1,0.0328,0.993,0.883,0.0912,0.321,72.627,4
3BWpWjdoTaU14UZxAZSZwa,"Winter Dreaming - Violin Version","Winter Dreaming","Limelight Glow",2021-11-18,73783,34,cabultra,2022-12-07T04:39:54Z,"","Limelight Glow",0.222,0.0442,9,-17.409,1,0.0453,0.992,0.925,0.101,0.255,67.746,5
0R83y6y6jMdkicd0fE7u1o,"Perfect Love Once Again","Perfect Love Once Again","Ivory Light",2022-10-07,62058,32,cabultra,2022-12-07T04:39:54Z,"","Ivory Light",0.134,0.0829,9,-17.267,1,0.0462,0.978,0.921,0.096,0.176,167.25,3
35td6pNBOxZnVWVuDY90vk,"In Flight - Violin Version","In Flight (Violin Version)","Poella",2021-08-28,93082,33,cabultra,2022-12-07T04:39:54Z,"","Poella",0.385,0.0316,3,-24.008,1,0.0386,0.965,0.941,0.0791,0.0793,72.971,4
5dZtgHpCbCjPrMsDU390pb,"Dona Nobis Pacem - Violin Version","Dona Nobis Pacem (Violin Version)","Open Blue Sky",2021-07-30,84194,33,cabultra,2022-12-07T04:39:54Z,"","Open Blue Sky",0.316,0.0578,4,-17.503,1,0.0376,0.993,0.759,0.103,0.188,64.865,4
7LcO8w47tP7ShcFXJ4lpcy,"Calm Flow Of The River","Calm Flow Of The River","Harmony Night",2022-02-02,62227,31,cabultra,2022-12-07T04:39:54Z,"","Harmony Night",0.206,0.0803,0,-19.284,1,0.0397,0.994,0.936,0.0975,0.315,158.335,4
3DB50lxg21Qxsl549AmcHk,"Faith - Strings Version","Faith","Limelight Glow",2021-05-17,78016,34,cabultra,2022-12-07T04:39:54Z,"","Limelight Glow",0.182,0.0562,8,-17.894,1,0.0432,0.984,0.925,0.122,0.076,85.356,4
4ZfVzyCrKq3xIH5AH8VJzO,"Soulmate - Violin Version","Soulmate","Harmony Night",2021-09-02,74387,33,cabultra,2022-12-07T04:39:54Z,"","Harmony Night",0.244,0.0675,1,-17.681,1,0.0334,0.992,0.909,0.0908,0.181,69.04,4
3BAfBKSyLkJKXkg2Mjt126,"There Is Love","There Is Love","Melody Lake",2021-07-30,67871,32,cabultra,2022-12-07T04:39:54Z,"","Melody Lake",0.195,0.0383,11,-20.376,1,0.0455,0.993,0.844,0.0947,0.263,69.099,4
7jE2GHIFGIadRYWaGt9vks,"Remember Me","Remember Me","Open Blue Sky",2022-07-10,61658,31,cabultra,2022-12-07T04:39:54Z,"","Open Blue Sky",0.199,0.0553,4,-19.889,1,0.0338,0.984,0.914,0.0901,0.176,88.106,4
2MwmDyS5VBL6SzlopgTDZN,"Believing Again","Believing Again","Moonlight Echoes",2022-02-06,68210,31,cabultra,2022-12-07T04:39:54Z,"","Moonlight Echoes",0.195,0.0775,3,-19.354,1,0.045,0.991,0.911,0.12,0.105,139.04,4
2aEIruHzgm9Zz4fb5RCfrz,"A Beginning - Violin Version","A Beginning","Ivory Light",2021-10-11,65357,30,cabultra,2022-12-07T04:39:54Z,"","Ivory Light",0.302,0.114,7,-17.035,1,0.0432,0.994,0.902,0.102,0.119,61.164,4
5yeBldjDH9SwoZ8FbNzXGc,"In Paris","In Paris","Slow Rising Hope",2021-12-26,65550,21,cabultra,2022-12-07T04:39:54Z,"","Slow Rising Hope",0.206,0.0564,7,-16.708,1,0.0392,0.994,0.937,0.112,0.205,67.446,3
1m7IGe5lBiVTk8ipPJBvNg,"Calm Again","Calm Again","Limelight Glow",2022-08-03,61607,32,cabultra,2022-12-07T04:39:54Z,"","Limelight Glow",0.168,0.0836,6,-18.552,1,0.0413,0.987,0.882,0.115,0.0382,65.135,5
6vWzvxWttBgFOiJwx67FzK,"Endings - Violin Version","Melancholic Strings","Melody Lake",2021-11-22,62626,19,cabultra,2022-12-07T04:39:54Z,"","Melody Lake",0.302,0.0439,9,-20.48,0,0.0397,0.994,0.925,0.111,0.19,70.611,4
7cTvpnbZXOl9nkjY8TBXv5,"Perfect Arr. For Cello And Violin","Vista With Strings","July Sunrise",2022-06-14,61153,34,cabultra,2022-12-07T04:39:54Z,"","July Sunrise",0.231,0.0448,6,-20.629,1,0.0378,0.985,0.831,0.0923,0.16,75.997,3
73yRVNHtZMgU50DJsw9l0z,"After Beauty","Arrivals, Vol. 2","Melody Lake",2022-02-27,61888,30,cabultra,2022-12-07T04:39:54Z,"","Melody Lake",0.281,0.0328,3,-20.9,1,0.0456,0.989,0.871,0.113,0.243,82.209,4
3OilgwnKOfI8W93JfN2cti,"Wanting - Violin Version","Wanting","Beyond Stillness",2022-10-29,61518,31,cabultra,2022-12-07T04:39:54Z,"","Beyond Stillness",0.229,0.0766,10,-16.696,1,0.0407,0.993,0.805,0.112,0.0823,86.39,1
2d1SdHO4QCLnLXfhiClqTr,"Gentle Child","Gentle Child","Open Blue Sky",2022-04-14,61750,30,cabultra,2022-12-07T04:39:54Z,"","Open Blue Sky",0.232,0.181,6,-13.863,1,0.0431,0.989,0.968,0.111,0.144,80.653,4
00SGfOEGPFBTOGBta5DccJ,"Love Forever Arr. For Violin","Love Forever Arr. For Violin","Harmony Night",2022-07-17,61666,30,cabultra,2022-12-07T04:39:54Z,"","Limelight Glow",0.213,0.0694,9,-18.786,1,0.0523,0.995,0.817,0.102,0.0781,67.997,4
2SNrS6NBQVjN1Cr29UPSJZ,"Foundations - Violin Version","Foundations","July Sunrise",2022-01-25,62368,30,cabultra,2022-12-07T04:39:54Z,"","July Sunrise",0.255,0.0409,3,-19.936,1,0.0451,0.992,0.929,0.118,0.212,76.041,4
1L04iiOCcxzSIBRroaV2a4,"Float Away","Float Away","Eternal Spring",2022-01-28,63067,20,cabultra,2022-12-07T04:39:54Z,"","Eternal Spring",0.121,0.126,7,-19.584,1,0.0497,0.994,0.9,0.111,0.26,174.905,4
6L4pizUcwfpVOP4fkgaDq9,"Appreciation","Piano Trios, Vol. 3","Limelight Glow",2021-12-25,64367,22,cabultra,2022-12-07T04:39:54Z,"","Limelight Glow",0.206,0.0624,6,-17.729,1,0.0426,0.978,0.88,0.11,0.117,81.134,4
1xFfzYSL7yk25yku4di5Nm,"Another Dreamscape","Violin Dreams Revisited","Poella",2022-05-30,60895,30,cabultra,2022-12-07T04:39:54Z,"","Poella",0.157,0.0867,2,-19.229,1,0.0473,0.994,0.855,0.0739,0.116,89.608,4
3YRUCwUh7suqakUduyoPsI,"Beyond The Dark Forest","Violin Melancholy, Vol. 2","Harmony Night",2022-02-07,61721,31,cabultra,2022-12-07T04:39:54Z,"","Harmony Night",0.133,0.0546,9,-17.167,1,0.0406,0.994,0.78,0.0822,0.149,170.106,3
1kRFLxLcYCr8NxyfQmLfjq,"Our Love","Our Love","Moonlight Echoes",2022-04-13,63261,33,cabultra,2022-12-07T04:39:54Z,"","Moonlight Echoes",0.132,0.0398,5,-17.905,1,0.0384,0.985,0.926,0.159,0.0721,78.585,1
3wb4Q38KSkTENpaCszM4qT,"Quiet Love Reimagined","Reimagined Melodies","July Sunrise",2022-03-23,60923,29,cabultra,2022-12-07T04:39:54Z,"","July Sunrise",0.154,0.141,1,-15.074,1,0.0477,0.971,0.891,0.113,0.0315,70.113,3
0Brfc06Onv7m2aXwHdYEB9,"First Day Of Winter","Present Wonder","Cello Soul",2022-02-03,64059,25,cabultra,2022-12-07T04:39:54Z,"","Cello Soul",0.198,0.0232,6,-19.442,1,0.0393,0.982,0.862,0.107,0.0748,78.014,5
