Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
33WUbp3DX0VQJCLspApITe,"is this what you wanted","is this what you wanted","Scro",2023-05-16,225289,31,cabultra,2024-08-16T19:42:56Z,"hyperpop","bitbird",0.377,0.85,7,-7.038,1,0.074,0.00278,0,0.21,0.21,159.988,4
3EKh7JNsBrGoh2xqPotBKT,"Hell Above","Collide With The Sky","Pierce The Veil",2012-07-17,223546,64,cabultra,2024-08-16T19:43:11Z,"emo,screamo,post-hardcore","Fearless Records",0.48,0.977,6,-1.993,1,0.117,0.000463,0.00000282,0.355,0.331,129.999,4
6U93jRV9dWOPtdqsQSDeUy,"fool me once","fallback","nightlife",2022-08-26,259252,37,cabultra,2024-08-16T19:43:20Z,"","Mad Collective",0.485,0.825,6,-4.676,0,0.0484,0.0792,0.00883,0.116,0.41,100.011,4
7xCcUcMcGsIYGKUVgBZUw5,"We Own the Night","Instant Gratification","Dance Gavin Dance",2015-04-14,205706,59,cabultra,2024-08-16T20:00:33Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.226,0.905,8,-3.239,1,0.0942,0.0509,0,0.281,0.475,80.349,4
6MlS2GW0rISp6dXjFr2MpL,"Danger (feat. Jeff Loomis & Veil of Maya)","Slow Bloom","The Home Team,Jeff Loomis,Veil Of Maya",2021-10-22,299717,42,cabultra,2024-08-16T20:08:16Z,"pop punk,progressive metal,neoclassical,djent,deathcore,metalcore,metal","Thriller Records",0.549,0.93,11,-3.536,0,0.0661,0.00756,0.0000103,0.399,0.583,136.999,4
3x8NQJlgdzI5aWMVkB3BIp,"Death Of An Executioner","The Jaws Of Life","Pierce The Veil",2023-02-10,267800,54,cabultra,2024-08-16T20:17:50Z,"emo,screamo,post-hardcore","Fearless Records",0.351,0.902,1,-4.532,0,0.165,0.00181,0.000333,0.205,0.326,123.978,4
08NlZMpzLHxrk3kfSA4ebB,"Die Another Day","Jackpot Juicer","Dance Gavin Dance",2022-07-29,221282,47,cabultra,2024-08-17T01:08:10Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.474,0.983,6,-3.332,0,0.118,0.0675,0,0.0825,0.373,175.015,3
03bb6AxzMre5LjZzTiLb1r,"Eiley","Haven't Been Myself","Too Close To Touch",2016-09-23,277093,43,cabultra,2024-08-19T13:17:51Z,"post-hardcore,metalcore","Epitaph",0.168,0.91,1,-3.345,0,0.106,0.00212,0.0000243,0.363,0.391,82.608,3
1s1WEQ4GqGSyN6dNUAzhPZ,"Move It or Lose It","Slow Bloom","The Home Team",2021-10-22,151983,50,cabultra,2024-08-19T13:22:20Z,"pop punk","Thriller Records",0.611,0.944,5,-3.25,0,0.0665,0.0174,0,0.251,0.549,107.029,4
7Gs5KSBcOk0EOxPaI1FSqq,"Watching All Your Friends Get Rich","Slow Bloom","The Home Team",2021-10-22,185971,46,cabultra,2024-08-19T13:25:56Z,"pop punk","Thriller Records",0.625,0.937,6,-3.596,1,0.0615,0.0383,0,0.0628,0.697,135.001,4
11sth3ERGdkrgI6DGqrghk,"Betrayed By The Game","Mothership","Dance Gavin Dance",2016-10-07,190426,53,cabultra,2024-08-19T13:39:19Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.337,0.974,7,-2.833,1,0.0852,0.00269,0,0.57,0.488,170.995,4
4pehGtiMD6B2WZHsKmr3oo,"Neon Grave","Dark Sun","Dayseeker",2022-11-04,240353,53,cabultra,2024-08-19T13:45:29Z,"metalcore,post-hardcore","Spinefarm",0.505,0.901,6,-4.139,0,0.0514,0.000229,0,0.112,0.285,97.965,4
5sICkBXVmaCQk5aISGR3x1,"Enter Sandman","Metallica","Metallica",1991-08-12,331266,77,cabultra,2024-08-19T13:52:37Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,4
6UB9mShVLbMm0W4e6vud4C,"Battery","Master Of Puppets (Remastered)","Metallica",1986-03-03,312360,59,cabultra,2024-08-19T14:31:05Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.481,0.928,11,-8.799,0,0.0672,0.00022,0.558,0.106,0.427,96.699,4
3HE50TVRquwXe9yv2HFoNL,"Never Too Late","One-X","Three Days Grace",2006-06-25,209333,67,cabultra,2024-08-23T00:36:42Z,"post-grunge,rock","Jive",0.433,0.778,2,-4.68,0,0.0371,0.00838,0,0.163,0.217,149.864,4
5anCkDvJ17aznvK5TED5uo,"Hail to the King","Hail to the King","Avenged Sevenfold",2013-08-23,305906,71,cabultra,2024-08-23T00:37:03Z,"metal,alternative metal,heavy metal","Warner Records",0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,4
1fQaoh3imrMunWVZh5kf90,"Shepherd of Fire","Hail to the King","Avenged Sevenfold",2013-08-23,323800,64,cabultra,2024-08-23T00:37:17Z,"metal,alternative metal,heavy metal","Warner Records",0.576,0.906,2,-7.677,1,0.0571,0.000332,0.0614,0.0908,0.211,127.935,4
4eAwB5pnKFTmsgc3zWoYO0,"Fake It","Finding Beauty In Negative Spaces (Bonus Track Version)","Seether",2007-01-01,193893,70,cabultra,2024-08-23T00:37:47Z,"post-grunge,alternative metal,rock","Fantasy Records",0.611,0.95,8,-3.509,1,0.0518,0.00141,0.00000159,0.0543,0.607,132.078,4
