Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6WsFhsmG3Uu7S7lhsZQftI,"molly","nothings ever good enough","iann dior,Bernard Jabs",2019-04-12,175568,0,,2020-06-23T05:34:23Z,"melodic rap","Dior Gang Music, LLC / TenThousand Projects, LLC",0.695,0.566,6,-7.484,0,0.124,0.00202,0,0.167,0.388,80.029,4
2nLOfwzuAx6iYSWhngcYmN,"Richard Simmons","Sensational","Yung Gravy",2019-05-31,142906,27,,2020-06-23T05:34:23Z,"meme rap","Republic Records",0.707,0.691,10,-6.616,1,0.27,0.117,0,0.0803,0.789,169.125,4
0oipY8Xy6wyN1yR2KlQdGS,"run?","run?","Wifisfuneral",2019-05-29,113005,0,,2020-06-23T05:34:23Z,"dark trap,underground hip hop","Alamo Records",0.754,0.773,5,-2.079,0,0.119,0.29,0.00000326,0.0997,0.803,170.091,4
5hVghJ4KaYES3BFUATCYn0,"EARFQUAKE","IGOR","Tyler, The Creator",2019-05-17,190066,78,,2020-06-23T05:34:23Z,"","Columbia",0.554,0.498,9,-8.866,1,0.0685,0.23,0.00000598,0.795,0.413,79.635,4
61StVXD7XDEeVBBdnvmFfM,"what is real","what is real","iann dior",2019-07-03,134819,0,,2020-06-23T05:34:23Z,"melodic rap","TenThousand Projects, LLC",0.626,0.769,1,-4.48,1,0.0343,0.224,0,0.116,0.446,93.483,4
5KUciA17ZXudpvWAc3mLHs,"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)","Revenge Of The Dreamers III","Dreamville,Omen,Mereba,Deante' Hitchcock,St. Beauty",2019-07-05,237853,37,,2020-06-23T05:34:23Z,"alternative r&b","Dreamville/Interscope Records",0.68,0.883,1,-5.387,1,0.395,0.187,0,0.116,0.59,96.173,4
5u431x19PX588bk9XGlwN8,"Bad Idea (feat. Chance the Rapper)","Bad Idea (feat. Chance the Rapper)","Cordae,Chance the Rapper",2019-06-17,234730,0,,2020-06-23T05:34:23Z,"","Atlantic Records",0.75,0.502,10,-7.184,1,0.31,0.238,0,0.106,0.301,82.54,4
65u1dHQyQyE4y4aN2eDmMF,"$$$ - with Matt Ox","?","XXXTENTACION,Matt OX",2018-03-16,130403,57,,2020-06-23T05:34:23Z,"emo rap,rage rap","Bad Vibes Forever, LLC",0.774,0.507,1,-6.952,0,0.065,0.0636,0,0.138,0.508,140.067,4
6G0FACzGN80Dj2v4ass5rq,"gone girl","gone girl","iann dior,Trippie Redd",2019-07-04,136568,0,,2020-06-23T05:34:23Z,"melodic rap","TenThousand Projects, LLC",0.677,0.714,11,-5.637,1,0.0287,0.162,0,0.0717,0.355,94.956,4
1JgkiUg9mSXSwcb5Gbi4Ur,"Lean 4 Real (feat. Skepta)","Die Lit","Playboi Carti,Skepta",2018-05-11,177026,62,,2020-06-23T05:34:23Z,"rage rap,grime","AWGE Label",0.754,0.775,7,-5.077,1,0.066,0.0302,0,0.362,0.159,76.01,4
29Kwwlc2SMq1XXqdf2KRfw,"LIGHT (feat. Drax Project)","Dex Meets Dexter","Famous Dex,Drax Project",2018-04-06,198000,23,,2020-06-23T05:34:23Z,"","300 Entertainment",0.692,0.62,1,-7.837,0,0.0701,0.151,0,0.158,0.596,150.022,4
4cciufgbhnM6NZAal0ORPd,"With You","Keahonui","Dbangz,Mani Strings",2019-07-01,213942,0,,2020-06-23T05:34:23Z,"meme rap","iAloha Records LLC",0.495,0.731,7,-4.206,0,0.522,0.428,0,0.0962,0.548,86.01,4
1iu3UTLNy436K7S8KVOdjS,"Unhappy","The Bigger Artist","A Boogie Wit da Hoodie",2017-09-29,179166,38,,2020-06-23T05:34:23Z,"melodic rap","Highbridge The Label",0.722,0.716,11,-5.353,0,0.19,0.229,0,0.0793,0.667,161.015,4
1xbtojAZsQjOgiGdGX6ChU,"Ransom","Ransom","Lil Tecca",2019-05-22,131248,0,,2020-06-23T05:34:23Z,"melodic rap,rap","Galactic",0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
1g3ErLqysBJ5EIGdYYMWFZ,"All Day Long","The Big Day","Chance the Rapper,John Legend",2019-07-26,208238,36,,2020-06-23T05:34:23Z,"soft pop,neo soul","Chance the Rapper",0.767,0.884,2,-3.674,1,0.161,0.028,0,0.103,0.717,123.01,4
790MhTXPFrYkrqCKvpg4t1,"Wanted You (feat. Lil Uzi Vert)","Wanted You (feat. Lil Uzi Vert)","NAV,Lil Uzi Vert",2017-11-03,228080,44,,2020-06-23T05:34:23Z,"melodic rap","XO Records",0.795,0.728,9,-4.712,0,0.0544,0.207,0,0.237,0.581,146.977,4
0bXFIF7iL17TYLyx8JHziM,"Patty Cake","Painting Pictures","Kodak Black",2017-03-31,198109,55,,2020-06-23T05:34:23Z,"","Atlantic Records",0.806,0.77,1,-6.464,0,0.19,0.0252,0,0.0645,0.406,152.094,4
