Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
466AejgNTcFIJht4mf8ybM,"Alone As A Facetat","Leave Me The Fuck Alone","Wifisfuneral",2018-11-07,157303,0,,2019-12-12T22:13:16Z,"dark trap,underground hip hop","Alamo Records",0.66,0.456,5,-9.414,0,0.329,0.876,0,0.106,0.306,74.731,4
2Jh3UqxnHJMyzMzku4uOtE,"Feeling","Death Race For Love","Juice WRLD",2019-03-08,201920,19,,2019-12-12T22:13:16Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.712,0.515,10,-6.004,0,0.0857,0.234,0,0.205,0.563,160,4
35mEjZLrbkbmbgYg05Y2Ia,"Bust Down Cartier","Bust Down Cartier","Lil Mosey",2019-03-15,148148,0,,2019-12-12T22:13:16Z,"melodic rap","Mogul Vision/Interscope Records",0.653,0.77,0,-7.465,1,0.048,0.0362,0.00000122,0.114,0.384,162.032,4
2nLOfwzuAx6iYSWhngcYmN,"Richard Simmons","Sensational","Yung Gravy",2019-05-31,142906,27,,2019-12-12T22:13:16Z,"meme rap","Republic Records",0.707,0.691,10,-6.616,1,0.27,0.117,0,0.0803,0.789,169.125,4
77MhMKDCBu2XNs1Dzu2AK6,"Anime World","Squidtastic","SahBabii",2018-08-29,194361,40,,2019-12-12T22:13:16Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.738,0.489,6,-8.911,0,0.135,0.342,0.00000312,0.488,0.422,81.049,4
2P1tkiGLZ5hoxrXfs073iU,"Forget Me Thots","Yung Gravity - EP","Yung Gravy",2017-05-01,184000,0,,2019-12-12T22:13:16Z,"meme rap","Yung Gravy",0.887,0.737,6,-6.489,0,0.16,0.243,0.0000411,0.109,0.685,104.924,4
1JgkiUg9mSXSwcb5Gbi4Ur,"Lean 4 Real (feat. Skepta)","Die Lit","Playboi Carti,Skepta",2018-05-11,177026,62,,2019-12-12T22:13:16Z,"rage rap,grime","AWGE Label",0.754,0.775,7,-5.077,1,0.066,0.0302,0,0.362,0.159,76.01,4
61StVXD7XDEeVBBdnvmFfM,"what is real","what is real","iann dior",2019-07-03,134819,0,,2019-12-12T22:13:16Z,"melodic rap","TenThousand Projects, LLC",0.626,0.769,1,-4.48,1,0.0343,0.224,0,0.116,0.446,93.483,4
7lljb2kxrENpNOZnqDj01h,"Army","Squidtastic","SahBabii",2018-08-29,174385,35,,2019-12-12T22:13:16Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.836,0.62,9,-8.51,0,0.051,0.0283,0.00586,0.061,0.476,134,4
6zQ0IcachvPDp04oWI7w8B,"Wya? (feat. Ugly God) - Remix","Boy Who Cried Wolf","Wifisfuneral,Ugly God",2017-08-18,214680,0,,2019-12-12T22:13:16Z,"dark trap,underground hip hop","Alamo Records / Interscope",0.86,0.305,11,-15.617,0,0.387,0.322,0,0.0641,0.276,84.996,4
0aJP5iqcwIMrRerm3SVU9a,"2 Tone Drip","YBN: The Mixtape","Almighty Jay",2018-09-07,181538,25,,2019-12-12T22:13:16Z,"","2018",0.857,0.767,5,-4.794,0,0.443,0.192,0,0.16,0.574,149.954,4
0bJww9qkihLxUG6TZCUd3x,"Sylvan","Squidtastic","SahBabii",2018-08-29,174249,28,,2019-12-12T22:13:16Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.8,0.444,2,-10.235,1,0.364,0.338,0.0000163,0.107,0.234,77.336,4
2NjeQLvFsfeKdZoA7dbfL1,"PERCS | PERCZ","TA13OO","Denzel Curry",2018-07-27,186626,43,,2019-12-12T22:13:16Z,"punk rap","Loma Vista",0.707,0.617,6,-8.446,0,0.21,0.0222,0,0.345,0.534,160.003,4
0oipY8Xy6wyN1yR2KlQdGS,"run?","run?","Wifisfuneral",2019-05-29,113005,0,,2019-12-12T22:13:16Z,"dark trap,underground hip hop","Alamo Records",0.754,0.773,5,-2.079,0,0.119,0.29,0.00000326,0.0997,0.803,170.091,4
1A8r8fxWqHbK56gvBy3fTQ,"Dark Out","Dark Out","Global Dan,Global AzN",2018-03-03,180015,26,,2019-12-12T22:13:16Z,"melodic rap,emo rap","EQT Recordings, LLC",0.57,0.703,6,-7.562,1,0.222,0.02,0,0.0795,0.27,160.036,4
3WIQhZTPlv5KLZFJIyEk2y,"Tonight","Squidtastic","SahBabii",2018-08-29,154113,44,,2019-12-12T22:13:16Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.74,0.561,5,-7.222,1,0.165,0.56,0,0.106,0.465,79.999,4
795VzZodMdZzC5fXMp2L3T,"Waterslide (feat. Lil Skies)","Yung Bans","Yung Bans,Lil Skies",2018-12-31,158137,27,,2019-12-12T22:13:16Z,"cloud rap,melodic rap","Yung Bans / Foundation",0.883,0.384,0,-10.163,1,0.348,0.202,0,0.138,0.425,75.02,4
2BJSMvOGABRxokHKB0OI8i,"Shoota (feat. Lil Uzi Vert)","Die Lit","Playboi Carti,Lil Uzi Vert",2018-05-11,153800,70,,2019-12-12T22:13:16Z,"rage rap,melodic rap","AWGE Label",0.673,0.649,1,-8.433,0,0.196,0.188,0,0.122,0.47,153.075,4
17bbdvF4HLK9ulpn1wkEvs,"Frosting","Mr. Clean - EP","Yung Gravy,Jaystorm",2016-10-10,160000,17,,2019-12-12T22:13:16Z,"meme rap","Yung Gravy",0.706,0.604,1,-7.93,1,0.27,0.0236,0,0.146,0.194,75.033,4
2KLECbl5YJPZUZVi33tuFf,"Honey Bees","Squidtastic","SahBabii",2018-08-29,146014,39,,2019-12-12T22:13:16Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.813,0.457,1,-7.834,1,0.343,0.508,0,0.125,0.414,72.529,4
6R6BpGki7hsjDGJEcH86ze,"Ned Flanders (feat. A$AP Ferg) - STWO Remix","Ned Flanders (feat. A$AP Ferg) [STWO Remix]","MadeinTYO,A$AP Ferg,Stwo",2019-04-23,122204,0,,2019-12-12T22:13:16Z,"rap","Commission/BMG",0.92,0.514,10,-6.527,1,0.292,0.426,0,0.101,0.614,139.979,4
0FoBWs2Pl6huOH94UCF4hI,"benihana ft. yung gravy prod. sonn","benihana ft. yung gravy prod. sonn","bbno$,Yung Gravy,Sonn",2017-05-28,178285,25,,2019-12-12T22:13:16Z,"meme rap","bbno$",0.887,0.649,10,-7.203,0,0.322,0.201,0,0.255,0.608,87.521,4
4IO2X2YoXoUMv0M2rwomLC,"Long Time - Intro","Die Lit","Playboi Carti",2018-05-11,211773,69,,2019-12-12T22:13:16Z,"rage rap","AWGE Label",0.472,0.861,4,-3.966,0,0.0447,0.283,0,0.83,0.358,144.077,4
0JS9sWdEGk729ILCGCsDyM,"Sunny Days (feat. T3)","Squidtastic","SahBabii,T3",2018-08-29,174775,33,,2019-12-12T22:13:16Z,"melodic rap","Casting Bait Music Group / under exclusive license to StreamCut Media, LLC",0.819,0.648,3,-6.773,1,0.141,0.169,0.00000969,0.0713,0.455,155.033,4
4taUkOSgaCuwD3OoGcxwL4,"Can't Feel My Face","Can't Feel My Face","Wifisfuneral,Robb Bank$",2019-01-09,129000,21,,2019-12-12T22:13:16Z,"dark trap,underground hip hop,cloud rap","Conn3ct3d / Alamo Records / EMPIRE",0.947,0.584,8,-7.907,1,0.457,0.0491,0,0.0791,0.384,120.018,4
