Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4DgImhJ5lY30bQdY6zVsb4,"Bloodshed","13","Denzel Curry",2017-06-26,201398,28,rskpowski91,2019-05-29T00:59:07Z,"punk rap","Loma Vista",0.665,0.827,1,-5.597,1,0.147,0.13,0,0.351,0.12,143.026,4
3J6XC8Xo5kWqitzWgV4zgl,"Zeltron 6 Billion","13","Denzel Curry,Lil Ugly Mane",2017-06-26,189767,33,rskpowski91,2019-05-29T00:59:11Z,"punk rap,experimental hip hop,memphis rap,cloud rap,southern hip hop,horrorcore","Loma Vista",0.59,0.871,2,-5.861,1,0.286,0.00747,0,0.912,0.452,172.082,4
5yplT3WzriMaDp31SsI0Uc,"Hate Government","13","Denzel Curry",2017-06-26,95806,29,rskpowski91,2019-05-29T00:59:14Z,"punk rap","Loma Vista",0.785,0.878,8,-5.062,1,0.182,0.171,0,0.203,0.483,124.012,4
3DaXXVRXK7sWRNEugMe7s6,"Knotty Head","Imperial","Denzel Curry,Rick Ross",2016-10-14,268219,40,rskpowski91,2019-05-29T00:59:17Z,"punk rap,southern hip hop","Loma Vista",0.69,0.859,2,-3.44,1,0.173,0.24,0.00000218,0.0709,0.348,157.956,4
7K0iidDYDudSm9BoSt901M,"RICKY","RICKY","Denzel Curry",2019-05-08,147866,0,rskpowski91,2019-05-29T00:59:22Z,"punk rap","Loma Vista Recordings",0.776,0.562,9,-6.901,1,0.363,0.0399,0,0.138,0.521,169.03,4
3oy9CClx1zCGnhzse9AvDu,"If Tomorrow's Not Here","Imperial","Denzel Curry,Twelve'len",2016-10-14,335463,39,rskpowski91,2019-05-29T00:59:26Z,"punk rap","Loma Vista",0.659,0.797,4,-5.659,0,0.121,0.203,0,0.329,0.727,106.013,4
5MybjTfYBllawRD4ZvAR9Q,"Bulls on Parade (triple j Like A Version)","Bulls on Parade (triple j Like A Version)","Denzel Curry",2019-03-15,269686,0,rskpowski91,2019-05-29T00:59:29Z,"punk rap","ABC Music / MGM",0.228,0.919,10,-7.953,1,0.317,0.000491,0.0000324,0.0878,0.696,176.192,4
737gwrDNwTCAwAjy02FSMO,"Story: No Title","Imperial","Denzel Curry",2016-10-14,168882,34,rskpowski91,2019-05-29T00:59:35Z,"punk rap","Loma Vista",0.756,0.746,1,-6.397,1,0.142,0.236,0,0.0999,0.0793,103.978,4
2aQwdBWk4vSPWk1Csgtzdo,"This Life","Imperial","Denzel Curry",2016-10-14,207214,49,rskpowski91,2019-05-29T00:59:40Z,"punk rap","Loma Vista",0.724,0.843,3,-6.74,0,0.0617,0.517,0,0.12,0.811,152.043,4
5BSz8sJO2YmKfNVQG7fq2J,"ULT","Imperial","Denzel Curry",2016-10-14,247054,46,rskpowski91,2019-05-29T00:59:44Z,"punk rap","Loma Vista",0.772,0.786,1,-5.337,1,0.24,0.113,0,0.202,0.233,130.071,4
4VYmdTVFXDq0LtYMoVswTv,"TABOO | TA13OO","TA13OO","Denzel Curry",2018-07-27,197440,47,rskpowski91,2019-05-29T00:59:48Z,"punk rap","Loma Vista",0.441,0.594,1,-8.271,1,0.166,0.269,0,0.143,0.491,139.28,4
5mexbTuWx9d8DPZk4sDGF4,"BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK]","TA13OO","Denzel Curry,Twelve'len,GoldLink",2018-07-27,210960,52,rskpowski91,2019-05-29T00:59:51Z,"punk rap","Loma Vista",0.551,0.725,1,-7.619,0,0.189,0.194,0,0.0956,0.692,99.919,4
5ZJABzmKr9flocrtQqbINO,"CASH MANIAC | CAZH MAN1AC [FEAT. NYYJERYA]","TA13OO","Denzel Curry,Nyyjerya",2018-07-27,198773,42,rskpowski91,2019-05-29T00:59:55Z,"punk rap","Loma Vista",0.544,0.694,11,-6.648,0,0.428,0.0872,0,0.508,0.4,119.005,3
3HXSQWIyz7CUEI96kUurwn,"SUPER SAIYAN SUPERMAN | ZUPER ZA1YAN ZUPERMAN","TA13OO","Denzel Curry",2018-07-27,132813,43,rskpowski91,2019-05-29T00:59:58Z,"punk rap","Loma Vista",0.76,0.715,1,-7.128,1,0.0428,0.0543,0.00000907,0.119,0.0479,142.035,4
7oopoWQa0jicMSf9SFtxMK,"SWITCH IT UP | ZWITCH 1T UP","TA13OO","Denzel Curry",2018-07-27,175906,43,rskpowski91,2019-05-29T01:00:10Z,"punk rap","Loma Vista",0.567,0.723,9,-5.33,0,0.29,0.0121,0,0.264,0.272,128.463,4
6b4A1mLzePAHGn3XCicLAe,"SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D]","TA13OO","Denzel Curry,JID",2018-07-27,236106,48,rskpowski91,2019-05-29T01:00:13Z,"punk rap","Loma Vista",0.66,0.784,6,-7.696,1,0.285,0.0806,0,0.113,0.642,157.991,4
2LNMhZ3YijTO7USmqjgJfG,"CLOUT COBAIN | CLOUT CO13A1N","TA13OO","Denzel Curry",2018-07-27,231333,55,rskpowski91,2019-05-29T01:00:16Z,"punk rap","Loma Vista",0.794,0.448,10,-4.771,0,0.0539,0.591,0,0.109,0.588,120.055,4
6FhEDaaRFyPRMYqhhXivO9,"THE BLACKEST BALLOON | THE 13LACKEZT 13ALLOON","TA13OO","Denzel Curry",2018-07-27,175173,38,rskpowski91,2019-05-29T01:00:20Z,"punk rap","Loma Vista",0.843,0.468,1,-7.601,1,0.156,0.0123,0.00331,0.12,0.0934,145.005,4
2NjeQLvFsfeKdZoA7dbfL1,"PERCS | PERCZ","TA13OO","Denzel Curry",2018-07-27,186626,43,rskpowski91,2019-05-29T01:00:23Z,"punk rap","Loma Vista",0.707,0.617,6,-8.446,0,0.21,0.0222,0,0.345,0.534,160.003,4
5vm7y9SmcH0S1NOQanb8rQ,"BLACK METAL TERRORIST | 13 M T","TA13OO","Denzel Curry",2018-07-27,161626,41,rskpowski91,2019-05-29T01:00:27Z,"punk rap","Loma Vista",0.626,0.659,0,-8.324,0,0.129,0.0182,0.00000101,0.348,0.112,77.005,4
67T0J1IDGgRwNMp3vWYaVb,"Zenith","Imperial","Denzel Curry,Joey Bada$$",2016-10-14,242889,45,rskpowski91,2019-05-29T01:00:31Z,"punk rap,hip hop,rap","Loma Vista",0.594,0.705,3,-5.276,0,0.0966,0.0871,0,0.154,0.21,91.715,4
6BqfaQVJSDsu9Yav2AGKbJ,"PERCS | PERCZ","PERCS | PERCZ","Denzel Curry",2018-05-25,186386,22,rskpowski91,2019-05-29T01:00:34Z,"punk rap","Loma Vista",0.694,0.638,4,-7.864,0,0.207,0.0334,0,0.32,0.529,159.985,4
7EHAXZenBzmGCpccWCyg8z,"SUMO | ZUMO","TA13OO","Denzel Curry",2018-07-27,227373,46,rskpowski91,2019-05-29T01:03:05Z,"punk rap","Loma Vista",0.822,0.861,11,-8.846,1,0.0832,0.25,0.00007,0.164,0.548,123.964,4
6R0GRYk2vs2XuBVemYK5YZ,"Ultimate","Ultimate","Denzel Curry",2015-01-01,189974,57,rskpowski91,2019-05-29T01:03:34Z,"punk rap","Loma Vista",0.493,0.826,9,-3.106,1,0.311,0.095,0.00000342,0.252,0.75,112.865,4
6a90nkg7j6GRmq6LirQixa,"Sick & Tired","Imperial","Denzel Curry",2016-10-14,242498,36,rskpowski91,2019-05-29T01:26:03Z,"punk rap","Loma Vista",0.59,0.781,8,-6.417,0,0.326,0.254,0,0.355,0.429,145.021,4
1T5mVPJE6LilJ7f73L3UDo,"Gook","Imperial","Denzel Curry",2016-10-14,166623,41,rskpowski91,2019-05-29T01:26:29Z,"punk rap","Loma Vista",0.668,0.805,1,-4.964,0,0.101,0.161,0.00000169,0.139,0.31,150.021,4
